Kind,Name,CountLineCode,MaxCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethodAll,CountDeclInstanceMethod,MaxInheritanceTree,CountDeclMethod,CountDeclInstanceVariable,PercentLackOfCohesion
File,"ContextAwareObjectFactoryFactory.java",14,1,,,,,1,,1,0,
File,"ConversionUtils.java",20,3,,,,,0,,1,0,
File,"Converter.java",72,7,,,,,3,,4,2,
File,"ConverterSample1.java",15,1,,,,,5,,5,0,
Public Class,"ConverterSample2",13,1,1,2,0,5,5,2,5,0,0
File,"ConverterSample2.java",14,1,,,,,5,,5,0,
Protected Method,"ConverterSample2.setUp",4,,,,,,,,,,
Protected Method,"ConverterSample2.tearDown",4,,,,,,,,,,
Public Final Method,"ConverterSample2.testClassJunit",1,,,,,,,,,,
Public Final Method,"ConverterSample2.testSetClassId",1,,,,,,,,,,
Public Final Method,"ConverterSample2.testSetClassName",1,,,,,,,,,,
File,"ConverterSample3.java",27,1,,,,,10,,10,0,
Public Class,"ConverterSample4",20,1,1,1,0,8,8,1,8,0,0
Public Method,"ConverterSample4.afterMethod",2,,,,,,,,,,
Public Method,"ConverterSample4.beforeSuiteAlwaysRun",2,,,,,,,,,,
Public Method,"ConverterSample4.dataProvider",3,,,,,,,,,,
Public Method,"ConverterSample4.expectedExceptions",2,,,,,,,,,,
Public Method,"ConverterSample4.factory",4,,,,,,,,,,
File,"ConverterSample4.java",20,1,,,,,8,,8,0,
Public Method,"ConverterSample4.plainTest",2,,,,,,,,,,
Public Method,"ConverterSample4.testEverything",1,,,,,,,,,,
Public Method,"ConverterSample4.testGroups",2,,,,,,,,,,
File,"CountCalls.java",10,1,,,,,0,,2,0,
File,"CountSampleTest.java",19,1,,,,,1,,3,0,
File,"CountTest.java",31,3,,,,,2,,2,0,
File,"CountingListener.java",16,1,,,,,2,,2,1,
File,"CreateDataTest.java",18,1,,,,,3,,3,0,
File,"CreationAttributes.java",35,1,,,,,6,,6,4,
File,"CtorCalledOnce.java",25,1,,,,,5,,5,0,
File,"CustomAttribute.java",11,0,,,,,2,,2,0,
File,"CustomAttributeTest.java",33,2,,,,,2,,3,0,
File,"CustomAttributesListener.java",19,1,,,,,2,,2,1,
File,"CustomAttributesTransformer.java",36,1,,,,,5,,5,2,
File,"CustomFactoryTest.java",56,1,,,,,6,,6,0,
File,"CustomInterceptorTest.java",44,1,,,,,3,,3,0,
File,"CustomListener.java",19,3,,,,,1,,1,0,
File,"CustomTestNGReporter.java",35,1,,,,,4,,4,1,
File,"DChild_2.java",18,1,,,,,3,,3,0,
File,"Data.java",16,1,,,,,5,,5,2,
File,"Data.java",4,0,,,,,0,,0,1,
File,"DataDrivenSample.java",20,2,,,,,2,,2,1,
File,"DataDrivenSampleTestClass.java",14,1,,,,,2,,2,0,
File,"DataDrivenTest.java",32,3,,,,,2,,2,0,
File,"DataProvider.java",13,0,,,,,3,,3,0,
